Reg No,NC Type,Noncandidate Committee Name,Chairperson Name,Chair Occupation,Chair Principal Place of Business,Treasurer Name,Treasurer Occupation,Treasurer Principal Place of Business,"Area, Scope, or Jurisdiction",Political Party,Ballot Issue Description,Single Candidate Name,Terminated,Filing Date
NC20449,Standard,Aloha Gateway LLC,"Barlow, Scott ",Marketing ,"Honolulu, Hawaii","Barlow, Scott ",Marketing,"Honolulu, Hawaii",Business / General Commerce,,,,Y,05/28/2014
NC20535,Standard,"Aloha Mixed Plate, LLC","Jordan-Polk, Sara A. ",Food & Beverage Manager,Maui,"Jordan-Polk, Sara A. ",Food & Beverage Manager,Maui,Other,,,,Y,10/14/2014
NC20220,Standard,Aloha Pacific Federal Credit Union ,"Iwai, Gary Y. ","Chairman, Board of Directors","Honolulu, Hawaii","Watanabe, Wallace Y. ",President & CEO,"Honolulu, Hawaii",Finance,,,,Y,09/10/2008
NC20551,Standard,"Aloha Pain Sports & Spine Medicine, LLC","Taylor, Christopher A. ",Medical Doctor,Aloha Pain Sport & Spine Medicine,"Taylor, Kerry ",Doctor of Osteopathy,Aloha Pain Sport & Spine Medicine,Healthcare / Medical,,,,Y,12/04/2014
NC20531,Standard,"Alternate Energy, Inc.","Ekimura, Bruce K. ",Business Owner,Hawaii,"Romualdo, Ashley ",Accountant,Hawaii,Construction,,,,Y,10/15/2014
NC20184,Standard,"ALTRES, Inc. ","Guss, Barron L. ",Pres. & CEO,"Honolulu, HI","Halloran, Clark W. ",Cash Manager & Sec.,"Honolulu, HI",Business / General Commerce,,,,Y,07/15/2008
NC20569,Standard,"Altria Client Services LLC & Its Affiliates-Philip Morris USA Inc, John Middleton Co, US Smokeless Tobacco Co & Nu Mark ","Turner, Leslie H. III", Vice President-State Government Affairs,"Washington, DC","Smith, Daniel W. ",Western Regional Director-State Government Affiair,"Sacramento, CA",Alcohol / Tobacco,,,,N,01/30/2015
NC20586,Standard,American Beverage Association,"Abdoli, Elli ",Designated Agent for Filer,"Washington, D.C.","Abdoli, Elli ",Designated Agent for Filer,"Washington, D.C.",Other,,,,N,10/13/2015
NC20576,Standard,American Chemistry Council,"Shestek, Tim ","Senior Director, State Affairs","Sacramento, CA ","Shestek, Tim ","Senior Director, State Affairs ","Sacramento, CA ",Business / General Commerce,,,,N,06/22/2015
NC20480,Independent Expenditure,American Comeback Committee Hawaii PAC,"Cox, Philip J. ",Executive Director ,Republican Governors Association ,"Adams, Michael G. ",Attorney ,Dinsmore & Shohl LLP,Independent Expenditure,,,,Y,09/16/2014
NC20211,Standard,American Council of Engineering Companies of Hawaii,"Lau, Glen Y. ",Geotechnical Engineer,"Pacific Geotechnical Engineers, Inc.","Jim On, Barry ",Mechanical Engineer,Insynergy Engineering Inc.,Architect / Engineer,,,,N,09/10/2008
NC20009,Standard,American Express Travel Related Services ,"Lemson, Stephen D. ","Vice President, State Government Affairs",American Express Travel Related Services,"Peterson, Sean N. ","Vice President, State Government Affairs",American Express Travel Related Services,Business / General Commerce,,,,Y,06/18/2008
NC20010,Standard,"American Federation of State, County and Municipal Employees - PEOPLE","Saunders, Lee A. ",International President,"1625 L Street, NW, Washington, DC  20036","Reyes, Laura ",International Secretary-Treasurer,"1625 L Street, NW, Washington, DC  20036",Labor Union,,,,N,08/29/2008
NC20382,Standard,American Income Political Action Committee ,"Smith, Roger ",Chairman,"Waco, TX","Scarborough, Joel ",Treasurer,"McKinney, TX",Other,,,,Y,11/01/2012
NC20419,Standard,American Income Political Action Committee,"Smith, Roger C. ",Chairperson,Waco Tx,"Scarborough, Joel P. ",Treasurer,"McKinney, Tx",Insurance,,,,Y,02/25/2014
NC20456,Standard,"Cattlemen's Action Legislative Fund (""CALF"")","Greenwell, James S. ",Retired,Retired,"Gottlieb, Alan H. ",CFO,Ponoholo Ranch Limited,Agribusiness,,,,N,07/01/2014
NC20195,Standard,American Insurance Association PAC - Hawaii ,"Suchil, Steven M. ","A.V.P., State Affairs",Sacramento,"Suchil, Steven M. ","A.V.P., State Affairs",Sacramento,Insurance,,,,Y,09/10/2008
NC20011,Standard,American Resort Development Association Resort Owners Coalition PAC (ARDA ROC-PAC),"McKelvey, Ken ",CEO,Christie Lodge,"DePoy, Sandra Y. ","Vice President, Federal Regulatory Affairs",American Resort Development Association,Real Estate,,,,N,09/10/2008
NC20012,Standard,Ameron Hawaii PAC ,"Wakayama, Wade H. ",President,"Honolulu, Hawaii","Okuno, Glenn H. ",Controller,"Honolulu, Hawaii",Construction,,,,Y,07/18/2008
NC20498,Standard,AMO Voluntary Political Action Fund,"Bethel, Thomas J. ",National President,"601 S. Federal Highway, Dania Beach, FL 33004","Leonard, Jose E. ",National Secretary-Treasurer,"601 S. Federal Highway, Dania Beach, FL 33004",Labor Union,,,,Y,10/02/2014
NC20013,Standard,"Anbe, Aruga & Ishizu, Architects, Inc. ","Inouye, Harold Y. ",Architect,"1441 Kapiolani Blvd., Suite 206","Matsuda, Joyce S. ",Secretary,"1441 Kapiolani Blvd., Suite 206",Architect / Engineer,,,,Y,07/21/2008
NC20014,Standard,"Anheuser-Busch Companies, Inc.","Baldonado, Andrew R. ","Region Vice President, State Affairs","Saint Louis, MO","Baldonado, Andrew R. ","Region Vice President, State Affairs","Saint Louis, MO",Alcohol / Tobacco,,,,N,07/03/2008
NC20606,Standard,"Aqua-Aston Hospitality, LLC","Bloom, Kelvin ",Chief Executive Officer,2155 Kalakaua Avenue 5th Floor Hon Hi  96815,"Weiss, Temple ",SVP Finance,2155 Kalakaua Avenue 5th Fl Honolulu HI  96815,Tourism,,,,N,05/17/2016
NC20356,Standard,"Araki-Regan & Associates, LLC ","Araki-Regan, Lynn ",Attorney,"Araki-Regan & Associates, LLC","Araki-Regan, Lynn ",Attorney,"Araki-Regan & Associates, LLC",Judicial / Legal,,,,Y,08/30/2012
NC20514,Standard,"Armstrong Properties, Ltd.","Sugimoto, Dean I. ",CFO,"Armstrong Builders, LLC","Sugimoto, Dean I. ",CFO,"Armstrong Builders, LLC",Other,,,,Y,10/07/2014
NC20164,Standard,Associated Builders & Contractor of Hawaii Merit PAC ,"Young, Jonathan R. ",President/CEO,ABC Hawaii Chapter,"Kawano, Ross ",Accountant,Erwin Cabrinha & Au,Non-Profit,,,,Y,09/05/2008
NC20301,Standard,Associations Inc. PAC (Associa PAC),"Krueger, John ",Community Management,"Associations, Inc.","Fortin, Andrew ",Vice President,"Associations, Inc.",Real Estate,,,,N,04/15/2011
NC20321,Standard,"Assurance Financial Partners, LLC","Bowen, Dave ",Co-Chief Executive Officer,"Assurance Financial Partners, LLC ","Matza, Rochelle S. ",Chief Financial Officer,"Assurance Financial Partners, LLC ",Healthcare / Medical,,,,Y,04/17/2012
NC20573,Standard,AstraZeneca Pharmaceuticals LP,"Murakami, Linda ",Director of Political Affairs,AstraZeneca,"Murakami, Linda ",Director of Political Affairs,AstraZeneca,Healthcare / Medical,,,,N,02/02/2015
NC20388,Standard,"ASTS Management, LLC","Cuthbert, Jennifer ",Accountant,"Las Vegas, Nevada","Cuthbert, Jennifer ",Accountant,"Las Vegas, Nevada",Other,,,,N,05/20/2013
NC20391,Standard,"ATC Makena Holdings, LLC","Donn, Ryan ",Vice President,Trinity Investments LLC,"Donn, Ryan ",VIce President,Trinity Investments LLC,Other,,,,N,07/30/2013
NC20366,Standard,"ATC Makena Services, LLC dba Makena Beach & Golf Resort ","Iommazzo, Carmine A. ",General Manager,"Maui, Hawaii","Bascon, Stefa ",Controller,"Maui, Hawaii",Tourism,,,,Y,09/28/2012
NC20200,Standard,Atlantis Adventures PAC ,"Williams, Ronald K. ",Manager,Honolulu,"Kojima, John A. ",Accountant,Honolulu,Tourism,,,,Y,08/27/2008
NC20015,Standard,"Austin, Tsutsumi & Associates, Inc. ","Kurokawa, Kenneth K. ",Civil Engineer,"Wailuku, HI","Watanabe, Stanley T. ",Civil Designer,"Honolulu, HI",Architect / Engineer,,,,Y,08/26/2008
NC20451,Standard,Auto Body & Painting Association Political Action Committee,"Okahara, Brandon S. ",Manager,"Waipahu, Hawaii","Chinen, James ",Manager,"Wahiawa, Hawaii",Other,,,,N,06/12/2014
NC20308,Standard,Automated HealthCare Solutions,"Bowen, Dave ",Chief Operating Officer,"Miramar, FL","Matza, Rochelle S. ",Chief Financial Officer,"Miramar, FL",Healthcare / Medical,,,,N,11/18/2011
NC20367,Standard,"B&C Trucking Co., Ltd. ","Levins, Maile S. ",Vice-President,99-1200 Halawa Valley St,"Santos, Verne W. ",President,99-1200 Halawa Valley St,Transportation,,,,Y,09/18/2012
NC20520,Standard,"B&C Trucking Co., Ltd.","Levins, Maile S. ",Vice President,"99-1200 Halawa Valley St. Aiea, HI 96701","Santos, Verne W. ",President,"99-1200 Halawa Valley St. Aiea, HI 96701",Transportation,,,,N,10/07/2014
NC20567,Standard,Bach One,"Rindlisbacher, Cory ",Director,BPM Services LLC,"Nye, Gary ",Accounting Manager,BPM Services LLC,Construction,,,,Y,01/20/2015
NC20209,Standard,Balanced Viewpoint PAC ,"Kawaharada, Michael K. ",structural engineer,"Honolulu, Hawaii","Kawaharada, Michael K. ",structural engineer,"Honolulu, Hawaii",Architect / Engineer,,,,Y,09/06/2008
NC20375,Standard,Bank of America Corporation State and Federal PAC,"Grip, Brian P. ",Senior Vice President,Bank of America,"Jamison, Wendy Y. ",Senior Vice President,Bank of America,Finance,,,,N,10/11/2012
NC20016,Standard,Bank of Hawaii Corporation Special Political Education Committee - State PAC,"Kuioka, Alton T. ",Vice Chair,"HONOLULU, HAWAII","Sakamoto, Kevin T. ",EXECUTIVE VICE PRESIDENT,"HONOLULU, HAWAII",Finance,,,,N,09/09/2008
NC20557,Ballot Issue,"BASF Plant Science, L.P.","Foster, Marlowe ",Global Head Industry Relations,"Durham, NC","Flake, Paul ",Industry Relations Manager,"Durham, NC",Ballot Issue,,Maui GMO ban,,Y,12/02/2014
NC20017,Standard,Bays Lung Rose & Holma ,"Lung, Harvey J. ",Attorney,"Honolulu, HI","Holma, Karin L. ",Attorney,"Honolulu, HI",Judicial / Legal,,,,N,06/23/2008
NC20575,Standard,Be The Change,"Rohlfing, Frederick W. III",Attorney,Case Lombardi,"Baker, Reginald E. Jr.",None,andriatupola@gmail.com,Other,,,,Y,02/19/2015
NC20625,Standard,"Beach Club Maui, Inc.","Hoke, Kevin ","President of Beach Club Maui, Inc.",Kula,"Hoke, Kevin ","President of Beach Club Maui, Inc.",Kula,Tourism,,,,Y,06/30/2016
NC20018,Standard,Belt Collins Hawaii Ltd. ,"Terry, Michael B. ",President and CEO,Belt Collins Hawaii Ltd.,"Ahn, Kerry S. ",CPA,Belt Collins Hawaii Ltd.,Architect / Engineer,,,,Y,07/11/2008
NC20019,Standard,Better Brands ,"Szigeti, George D. ",President,Better Brands,"Kawasaki, Laureen A. ",VP Finance,Better Brands,Other,,,,Y,09/09/2008
NC20421,Independent Expenditure,BIA-Hawaii Super PAC,"Adachi, Brian K. ",General Contractor,Hawaii,"Shintani, Lili L. ",General Contractor,Hawaii,Independent Expenditure,,,,N,05/15/2014
NC20433,Standard,"Big Island Delights, Inc.","Takamine, Jeffrey ",PRESIDENT,BIG ISLAND DELIGHTS,"Takamine, Jeffrey ","PRESIDENT, TREASURER (BIG ISLAND DELIGHTS)",BIG ISLAND DELIGHTS,Other,,,,Y,05/02/2014
NC20020,Standard,"Bill Mills Development Co., Inc. ","Mills, Bill D. ",President,"1100 Alakea Street, Suite 2200","Mills, Bill D. ",President,"1100 Alakea Street, Suite 2200",Real Estate,,,,Y,06/18/2008
NC20332,Standard,"Bill Mills Development Co., Inc. ","Mills, Bill D. ",Executive,Hawaii,"Aniya, Claire R. ",Treasurer,Hawaii,Real Estate,,,,Y,05/14/2012
NC20570,Standard,"Bill Mills Development Co., Inc.","Mills, Bill D. ",Chairman,"1100 Alakea Street, Suite 2200","Aniya, Claire R. ",Treasurer,"1100 Alakea Street, Suite 2200",Real Estate,,,,N,01/28/2015
NC20334,Standard,"BioEnergy Hawaii, LLC ","Kaniho, Guy ",General Manager,"Kailua-Kona, HI","Wentworth, Rachel ",Controller,"Kailua-Kona, HI",Energy / Utility,,,,Y,05/17/2012
NC20439,Standard,"BioTork, LLC","de Crecy, Eudes ",CEO,Gainesville,"Penicaud, Marc ",CFO,Gainesville,Technology,,,,N,04/29/2014
NC20368,Standard,"Blue Lagoon Investment, Inc. ","Kan, Jeffrey ",president,same as above,"Wu, Jay J. ",vice president,same as above,Business / General Commerce,,,,Y,09/24/2012
NC20021,Standard,Brownlie & Lee ,"Brownlie, Richard C. ",Landscape Architect,"Honolulu, Hawaii","Lee, Benedict K. ",Landscape Architect,"Honolulu, Hawaii",Architect / Engineer,,,,Y,06/23/2008
NC20022,Standard,Builders PAC ,"Izumi, Melvyn A. ",Treasurer/Director,"1717 Akahi Street, Honolulu, HI 96819-4265","Izumi, Melvyn A. ",Treasurer/Director,"1717 Akahi Street, Honolulu, HI 96819-4265",Construction,,,,Y,06/26/2008
NC20202,Standard,Build-PAC Hawaii,"Borge, Anthony B. ",Owner,"Honolulu, HI  96817","Marrone, Gladys Ann Q. ",Chief Executive Officer,"Waipahu, Hawaii  96797",Construction,,,,N,09/05/2008
NC20023,Standard,"Business Insurance Services, Inc.","John, Shigenaga Y. ",CFO,"Honolulu, Hawaii","John, Shigenaga Y. ",CFO,"Honolulu, Hawaii",Insurance,,,,N,09/05/2008
NC20534,Standard,"Cardax Pharmaceuticals, Inc.","Watumull, David G. ",President & CEO,"2800 Woodlawn Drive, Suite 129, Honolulu, HI 96822","Watumull, David M. ","Vice President, Operations","2800 Woodlawn Drive, Suite 129, Honolulu, HI 96822",Healthcare / Medical,,,,Y,10/14/2014
NC20423,Standard,"Carnazzo Court Reporting Co., Ltd.","Carnazzo, Louis A. ",Administrator,"888 Mililani St, Ste. 705, Honolulu, HI","Carnazzo, Louis A. ",Administrator,"888 Mililani St., Ste. 705, Honolulu, Hawaii",Judicial / Legal,,,,Y,04/14/2014
NC20183,Standard,Carpet Linoleum and Soft Tile Local Union 1926 Market Recovery Fund PAC ,"Ahlo, Malcolm K. ",Business Representative,Same,"Ahlo, Malcolm K. ",Business Representative,Same,Labor Union,,,,Y,09/08/2008
NC20206,Standard,Case Lombardi & Pettit,"Lombardi, Dennis M. ",Attorney,"Honolulu, Hawaii","Pettit, Ted N. ",Attorney,"Honolulu, Hawaii",Other,,,,N,09/03/2008
NC20542,Standard,"Case Management Professionals, Inc.","Reyes, Agnes ",RN Administrator,Hawaii,"Reyes, Agnes ",RN Administrator,Hawaii,Healthcare / Medical,,,,Y,10/24/2014
NC20177,Standard,"Castle & Cooke, Inc. Legislative Committee - Hawaii","Saunders, Harry A. ",President,"Honolulu, Hawaii","Saunders, Harry A. ",President,"Mililani, Hawaii",Real Estate,,,,N,06/30/2008
NC20029,Standard,CATRALA - PAC,"Higuchi, Garrick ",Area Director,DTG Hawaii Operations,"Tinebra, Nicholas C. ",CEO,"Honolulu Publishing Company, Ltd.",Transportation,,,,Y,09/08/2008
NC20024,Standard,Central Pacific Bank State PAC aka CPB PAC - State,"Isono, Denis K. ",Chief Financial Officer,Central Pacific Bank,"Ching, Glenn ",Banker,Central Pacific Bank,Finance,,,,N,06/20/2008
NC20594,Standard,CH2M Hill Hawaii PAC,"Davis, Howlie ","Senior Vice President, Government Relations",CH2M HILL,"Bell, Brian ","Manager of Federal Relations, Legislative Analyst",CH2M HILL,Transportation,,,,N,02/03/2016
NC20239,Standard,Chamber of Maui Political Action Committee ,"Rasmussen, Teena M. ",Owner,Paradise Flowers Farms,"Beers, Mark A. ",Assistant Controller Financial Services,HC&S,Non-Profit,,,,Y,10/28/2008
NC20435,Standard,"Champlin Hawaii Wind Holdings, LLC","Cutbirth, Michael ",Manager,Champlin GEI / Management Company,"Kantor, Jennifer L. ",Bookkeeper,Champlin GEI / Management Company,Energy / Utility,,,,N,04/24/2014
NC20256,Standard,Change Hawaii,"Ryan, Eric ",Advertising + Graphic Design,Oahu,"Ryan, Eric ",Advertising + Graphic Design,Oahu,Other,,,,N,08/26/2009
NC20025,Standard,Citigroup Inc. PAC - State (Citi PAC-State) ,"Sweeney, Robert G. ",Managing Director - State & Local Gov. Relations,"Washington, D.C.","Russell, Theresa A. ",Vice President,"New York, NY",Finance,,,,N,08/29/2008
NC20473,Ballot Issue,Citizens Against the Maui County Farming Ban,"Helm, Adolph M. ",Project Leader,"Molokai, Hawaii","Seabolt, Duane C. ",Consultant,"Honolulu, Hawaii",Ballot Issue,,Maui Initiative on Genetically Eng'd Organisms,,Y,08/28/2014
NC20365,Standard,Citizens for a Sustainable North Hawaii ,"Sunderland, Jean M. ",Business Administrator,Hawaii Island Retreat,"Watkins, Daemion A. ",Engineer,Hawaii Island Retreat,Other,,,,Y,09/19/2012
NC20178,Standard,Citizens for Responsive Government,"Leong, Renee ",Sales,"Honolulu, HI","Leong, Renee ",Sales,"Honolulu, HI",Other,,,,N,08/20/2008
NC20026,Standard,Citizens United for Tort Reform ,"Rasmussen, Linda ",Physician,Windward Orthopedic Group,"Arcena, Paula A. ",Executive Director,Hawaii Medical Association,Healthcare / Medical,,,,Y,09/10/2008
NC20513,Standard,"Clifford Planning & Architecture, LLC","Clifford, Janine S. ","President, CEO",Clifford Planning & Architecture LLC,"Clifford, Janine S. ","President, CEO",Clifford Planning & Architecture LLC,Single Candidate,,,Alan Arakawa,N,10/16/2014
NC20357,Standard,"Clifford Planning & Architecture, LLC ","Clifford, Janine S. ",Architect,"Honolulu, Hawaii","Clifford, Janine S. ",Architect,"Honolulu, Hawaii",Architect / Engineer,,,,Y,08/20/2012
NC20589,Independent Expenditure,Coalition for Green Jobs NOW!,"DuRoss, David ",SalesPerson,Maui Solar Project,"DuRoss, David ",Managing Partner,Common Cents Lighting,Independent Expenditure,,,,N,09/28/2015
NC20214,Standard,Coalition for Hawaii's Future,"Ogawa, Robert T. ",President,Ogawa & Associates,"Kinney, Lynn ",Business Manager,District Council 50,Other,,,,N,09/10/2008
NC20233,Ballot Issue,Coalition for Responsible Government,"Imparato, Carl F. ",electrical engineer,5-5396 Kuhio Hwy Hanalei Hi 96714,"Dinner, David H. ",Bodywork/massage,Home/ Hanalei Bay Resort,Ballot Issue,,Require County of Kauai follow 2000 General Plan,,N,10/10/2008
NC20431,Standard,"Colliers International HI, LLC","Morihara, Sarah Lee ",Managing Director,Colliers International ,"Funakoshi, Joy S. ",Controller,Colliers International,Real Estate,,,,Y,04/17/2014
NC20636,Standard,Comcast Corporation,"Ciaraldi, Dominick A. ",,,"Dordelman, William E. ",,,,,,,N,
NC20340,Standard,Dairy Road Partners ,"Nakamura, Glenn M. ",Self Employed,Hawaii,"Nakamura, Garth M. ",manager,Hawaii,Business / General Commerce,,,,Y,06/27/2012
NC20210,Ballot Issue,Committee For Balanced Transportation dba Go Rail Go ,"Timson, Maeda C. ",---,First Hawaiian Bank,"Wong, Kenneth K. ",Attorney,"Honolulu, Hawaii",Ballot Issue,,Rail transit,,Y,09/26/2008
NC20238,Standard,Committee For Good Government,"Dias, Harold J. Jr.",Electrical Workers,Hawaii,"Lau, Terry W. ",Electrical Workers,Hawaii,Non-Profit,,,,N,10/29/2008
NC20084,Standard,Committee on Political Education-General Fund & Political Contributions,"Perreira, Randy P. ",President,Honolulu,"Perreira, Randy P. ",President,Honolulu,Other,,,,N,06/25/2008
NC20601,Standard,"Committee to Expand the Middle Class, supported by Airbnb, Inc.","Hannan, Patrick ",Public Policy Manager,"Airbnb, Inc. ","Heneghan, Kevin ",Senior Counsel,"Airbnb, Inc. ",Tourism,,,,N,08/03/2016
NC20027,Standard,"Communications Pacific, Inc. ","Lagareta, Catherine Y. ",Chairman & CEO,Honolulu,"Lewis, Nobleza M. ","Senior Vice President, Finance",Honolulu,Business / General Commerce,,,,Y,09/09/2008
NC20315,Standard,Community Leadership PAC ,"Marston, Christopher M. ",Compliance Consulting,"Alexandria, VA","Marston, Christopher M. ",Compliance Consulting,"Alexandria, VA",Non-Profit,,,,Y,03/09/2012
NC20030,Standard,Concepts Hawaii ,"Blaisdell, William W. ",Consultant,"Honolulu, HI","Blaisdell, William W. ",Consultant,"Honolulu, HI",Other,,,,Y,06/18/2008
NC20259,Standard,Conservatives for Change Discussion Groups of Hawaii ,"Bass, Michael B. ",Retired,"917 Kapapala Place Honolulu, HI 96825 ","Bass, Michael B. ",Retired,"917 Kapapala Place Honolulu, HI 96825",Other,,,,Y,12/11/2009
NC20457,Standard,Consumer Fireworks Safety Association Political Action Committee,"Elrod, Jerry R. ",President,"American Promotional Events, Inc.","Farley, Jerald E. ",government relations,"Lake Forest Park, Washington 98155-5631",Ideological / Single-Issue,,,,N,06/29/2014
NC20032,Standard,ControlPoint - PAC,"Yeh, Yue-Hong ",Land Surveyor,"Honolulu, Hawaii","Murakami, Norman K. ",Land Surveyor,"Honolulu, Hawaii",Architect / Engineer,,,,Y,08/30/2008
NC20033,Standard,"Cost Engineering of Hawaii, Inc.","Tsuha, Mitsuo ",Civil Engineer,"2153 N. King St., Ste. 326","Tsuha, Victor M. ",Cost Estimator,"2153 N. King St., Ste. 326",Architect / Engineer,,,,Y,06/18/2008
NC20508,Standard,Costello For Congress,"Costello, Jerry F. ",President,"The Jerry Costello Group, LLC","Shalapin, Mary M. ",Associate,"The Jerry Costello Group, LLC",Other,,,,Y,10/03/2014
NC20477,Ballot Issue,Council for Biotechnology Information Noncandidate Committee,"Enright, Cathy ",Executive Director,Council for Biotechnology Information,"Basu, Ab ","Managing Director, State Affairs",Biotechnology Industry Organization,Ballot Issue,,Genetically Modified Organism Ban Initiative,,Y,09/10/2014
NC20349,Standard,"CP II Kukui Gardens, LLC ","Striegl, Frank ",Sr. VP,Seattle,"Schondelmayer, Timothy R. ",Dir. of Asset Mgmt,Seattle,Real Estate,,,,Y,09/11/2012
NC20331,Standard,CP Investment REIT ,"Striegl, Frank ",SVP,"Seattle, WA","Schondelmayer, Tim ",Director,"Seattle, WA",Real Estate,,,,Y,05/21/2012
NC20286,Standard,CWA-COPE PCC,"Cohen, Larry ",Chair,CWA,"Hill, Annie ",Treasurer,CWA,Labor Union,,,,N,10/01/2010
NC20203,Standard,"D.R. Horton - Schuler Homes, LLC ","Jones, Michael T. ",Division President,650 Iwilei Road #209,"Barnette, Chris K. ",Attorney,650 Iwilei Road #209,Real Estate,,,,Y,08/28/2008
NC20533,Standard,"Daniel Company, LLC","Malki, Tim E. ",V.P.,Upland CA,"Malki, Tim E. ",V.P.,Upland CA,Business / General Commerce,,,,Y,10/23/2014
NC20491,Standard,"de Reus Architects, Inc.","de Reus, Mark E. ",Architect,Hawaii,"de Reus, Mark E. ",Architect,Hawaii,Architect / Engineer,,,,Y,10/02/2014
NC20374,Standard,Defend Truth ,"Hirohata, Milton M. ",Retired,Retired,"Hirohata, Milton M. ",Retired,Retired,Other,,,,Y,10/11/2012
NC20034,Standard,Delta Construction Corporation Committee ,"Saito, Edwin H. ","Executive Vice President, Finance",Delta Construction Corporation,"Saito, Edwin H. ","Executive Vice President, Finance",Delta Construction Corporation,Construction,,,,Y,09/09/2008
NC20035,Standard,Democracy for America - HI,"Hasan, Arshad ",Executive Director,Democracy for America,"Cleland, Eileen ",Accountant,Democracy for America,Other,,,,N,09/03/2008
NC20482,Standard,Democratic Governors Association - Hawaii ,"Pearson, Elisabeth ",Executive Director,Democratic Governors Association,"Pearson, Elisabeth ",Executive Director,Democratic Governors Association,Other,,,,N,10/24/2014
