Noncandidate Committee Name,Candidate Name,CC Reg No,Candidate Committee Name,Date,Amount,Non-Monetary (Yes or No),Reg No,Election Period,Office,District,County,Party
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,06/12/2016,$20.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,06/12/2016,$25.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,06/12/2016,$50.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,06/12/2016,$20.16,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,06/12/2016,$1.28,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,06/12/2016,$100.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,06/12/2016,$100.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,06/19/2016,$3.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,06/19/2016,$1.33,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,06/19/2016,$25.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,06/19/2016,$10.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,06/19/2016,$15.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,06/19/2016,$10.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,06/19/2016,$50.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,06/19/2016,$10.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,06/19/2016,$1.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,06/19/2016,$10.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,06/19/2016,$25.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,06/19/2016,$50.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,06/19/2016,$2.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,06/19/2016,$5.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,06/19/2016,$25.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,06/19/2016,$10.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,06/26/2016,$100.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,06/26/2016,$100.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,06/26/2016,$27.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,06/26/2016,$100.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,06/30/2016,$25.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,06/30/2016,$25.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,06/30/2016,$27.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,06/30/2016,$1.41,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,06/30/2016,$25.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Hashem, Mark",CC10626,Friends of Mark Hashem,02/14/2016,$25.00,N,NC20302,2014-2016,House,18,,Democrat
ActBlue Hawaii,"Ige, David",CC10147,David Ige for Governor 2014,11/09/2014,$500.00,N,NC20302,2014-2016,Governor,,,Democrat
ActBlue Hawaii,"Ige, David",CC10147,David Ige for Governor 2014,11/23/2014,$25.00,N,NC20302,2014-2016,Governor,,,Democrat
ActBlue Hawaii,"Ige, David",CC10147,David Ige for Governor 2014,11/30/2014,$100.00,N,NC20302,2014-2016,Governor,,,Democrat
ActBlue Hawaii,"Ige, David",CC10147,David Ige for Governor 2014,12/07/2014,$100.00,N,NC20302,2014-2016,Governor,,,Democrat
ActBlue Hawaii,"Ige, David",CC10147,David Ige for Governor 2014,12/07/2014,$100.00,N,NC20302,2014-2016,Governor,,,Democrat
ActBlue Hawaii,"Ige, David",CC10147,David Ige for Governor 2014,12/07/2014,$300.00,N,NC20302,2014-2016,Governor,,,Democrat
ActBlue Hawaii,"Ige, David",CC10147,David Ige for Governor 2014,12/07/2014,$100.00,N,NC20302,2014-2016,Governor,,,Democrat
ActBlue Hawaii,"Ige, David",CC10147,David Ige for Governor 2014,12/28/2014,$100.00,N,NC20302,2014-2016,Governor,,,Democrat
ActBlue Hawaii,"Ige, David",CC10147,David Ige for Governor,01/04/2015,$100.00,N,NC20302,2014-2016,Governor,,,Democrat
ActBlue Hawaii,"Ige, David",CC10147,David Ige for Governor,01/25/2015,$10.00,N,NC20302,2014-2016,Governor,,,Democrat
ActBlue Hawaii,"Ige, David",CC10147,David Ige for Governor,02/01/2015,$100.00,N,NC20302,2014-2016,Governor,,,Democrat
ActBlue Hawaii,"Ige, David",CC10147,David Ige for Governor,02/08/2015,$100.00,N,NC20302,2014-2016,Governor,,,Democrat
ActBlue Hawaii,"Ige, David",CC10147,David Ige for Governor,03/08/2015,$100.00,N,NC20302,2014-2016,Governor,,,Democrat
ActBlue Hawaii,"Ige, David",CC10147,David Ige for Governor,04/05/2015,$100.00,N,NC20302,2014-2016,Governor,,,Democrat
ActBlue Hawaii,"Ige, David",CC10147,David Ige for Governor,05/03/2015,$100.00,N,NC20302,2014-2016,Governor,,,Democrat
ActBlue Hawaii,"Ige, David",CC10147,David Ige for Governor,06/07/2015,$100.00,N,NC20302,2014-2016,Governor,,,Democrat
ActBlue Hawaii,"Ige, David",CC10147,David Ige for Governor,07/05/2015,$100.00,N,NC20302,2014-2016,Governor,,,Democrat
ActBlue Hawaii,"Ige, David",CC10147,David Ige for Governor,08/02/2015,$100.00,N,NC20302,2014-2016,Governor,,,Democrat
ActBlue Hawaii,"Ige, David",CC10147,David Ige for Governor,09/06/2015,$100.00,N,NC20302,2014-2016,Governor,,,Democrat
ActBlue Hawaii,"Ige, David",CC10147,David Ige for Governor,12/20/2015,$1.00,N,NC20302,2014-2016,Governor,,,Democrat
ActBlue Hawaii,"Ige, David",CC10147,David Ige for Governor,12/27/2015,$10.00,N,NC20302,2014-2016,Governor,,,Democrat
ActBlue Hawaii,"Ige, David",CC10147,David Ige for Governor,03/31/2016,$5.00,N,NC20302,2014-2016,Governor,,,Democrat
ActBlue Hawaii,"Ige, David",CC10147,David Ige for Governor,05/15/2016,$500.00,N,NC20302,2014-2016,Governor,,,Democrat
ActBlue Hawaii,"Ige, David",CC10147,David Ige for Governor,06/05/2016,$1200.00,N,NC20302,2014-2016,Governor,,,Democrat
ActBlue Hawaii,"Ige, David",CC10147,David Ige for Governor,06/05/2016,$1200.00,N,NC20302,2014-2016,Governor,,,Democrat
ActBlue Hawaii,"Ige, David",CC10147,David Ige for Governor,06/05/2016,$1200.00,N,NC20302,2014-2016,Governor,,,Democrat
ActBlue Hawaii,"Ige, David",CC10147,David Ige for Governor,06/12/2016,$10.00,N,NC20302,2014-2016,Governor,,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,03/13/2016,$100.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,03/13/2016,$25.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,03/13/2016,$25.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,03/13/2016,$100.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,03/13/2016,$500.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,03/13/2016,$500.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,03/13/2016,$25.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,03/13/2016,$25.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,03/13/2016,$75.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,03/20/2016,$100.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,03/20/2016,$100.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,03/27/2016,$20.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,03/27/2016,$100.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,03/27/2016,$20.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,03/27/2016,$50.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,03/27/2016,$20.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,03/27/2016,$50.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,03/27/2016,$20.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,03/27/2016,$500.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,03/27/2016,$500.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,03/27/2016,$50.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,03/27/2016,$100.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,03/27/2016,$100.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,03/27/2016,$100.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,03/27/2016,$20.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,03/27/2016,$5.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,03/31/2016,$2000.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,04/10/2016,$30.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,04/10/2016,$100.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,04/10/2016,$30.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,04/17/2016,$250.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,04/17/2016,$30.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,04/17/2016,$65.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,04/17/2016,$70.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,04/24/2016,$50.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,04/24/2016,$65.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,04/24/2016,$50.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,04/24/2016,$35.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,04/24/2016,$35.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,05/01/2016,$30.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,05/01/2016,$1000.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,05/01/2016,$30.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,05/01/2016,$70.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,05/01/2016,$10.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,05/01/2016,$20.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,05/08/2016,$70.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,05/08/2016,$35.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,05/08/2016,$60.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,05/08/2016,$10.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,05/08/2016,$30.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,05/08/2016,$35.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,05/08/2016,$30.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,05/08/2016,$30.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,05/08/2016,$15.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,05/08/2016,$35.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,05/08/2016,$15.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,05/08/2016,$30.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,05/08/2016,$35.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,05/08/2016,$30.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,05/08/2016,$30.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,05/08/2016,$70.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,05/08/2016,$30.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,05/08/2016,$35.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,05/08/2016,$15.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,05/08/2016,$80.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,05/08/2016,$100.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,05/08/2016,$70.00,N,NC20302,2014-2016,House,12,,Democrat
ActBlue Hawaii,"Lawrence, Tiare",CC11226,Tiare Lawrence for Maui,05/08/2016,$300.00,N,NC20302,2014-2016,House,12,,Democrat
